Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
138,3/17/18,Kansas,N,Seton Hall,W 83-79,200,28,56,0.5,19,35,0.543,9,21,0.429,18,26,0.692,83
139,3/25/12,Kentucky,N,Baylor,W 82-70,200,24,45,0.533,20,36,0.556,4,9,0.444,30,44,0.682,82
140,3/23/13,Louisville,N,Colorado State,W 82-56,200,31,55,0.564,26,46,0.565,5,9,0.556,15,18,0.833,82
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
141,4/8/13,Louisville,N,Michigan,W 82-76,200,28,61,0.459,20,45,0.444,8,16,0.5,18,23,0.783,82
142,3/27/14,Dayton,N,Stanford,W 82-72,200,28,58,0.483,20,35,0.571,8,23,0.348,18,26,0.692,82
143,3/18/16,Oklahoma,N,Cal St Bakersfield,W 82-68,200,28,56,0.5,17,36,0.472,11,20,0.55,15,25,0.6,82
144,3/19/16,Gonzaga,N,Utah,W 82-59,200,34,61,0.557,25,42,0.595,9,19,0.474,5,6,0.833,82
145,3/24/16,Oregon,N,Duke,W 82-68,200,32,65,0.492,22,42,0.524,10,23,0.435,8,17,0.471,82
146,3/16/17,North Dakota,N,Arizona,L 82-100,200,32,69,0.464,22,47,0.468,10,22,0.455,8,16,0.5,82
147,3/19/17,Baylor,N,USC,W 82-78,200,31,61,0.508,24,42,0.571,7,19,0.368,13,15,0.867,82
148,3/16/18,Michigan State,N,Bucknell,W 82-78,200,31,58,0.534,26,41,0.634,5,17,0.294,15,22,0.682,82
149,3/15/11,UNC Asheville,N,Little Rock,W 81-77 (OT),225,27,54,0.5,23,42,0.548,4,12,0.333,23,28,0.821,81
150,3/17/11,UConn,N,Bucknell,W 81-52,200,32,66,0.485,23,42,0.548,9,24,0.375,8,9,0.889,81
151,3/18/11,Oakland,N,Texas,L 81-85,200,33,75,0.44,26,46,0.565,7,29,0.241,8,11,0.727,81
152,3/25/11,UNC,N,Marquette,W 81-63,200,31,74,0.419,26,58,0.448,5,16,0.313,14,21,0.667,81
153,3/15/12,Kentucky,N,Western Ky.,W 81-66,200,30,54,0.556,27,44,0.614,3,10,0.3,18,25,0.72,81
154,3/22/12,Ohio State,N,Cincinnati,W 81-66,200,27,56,0.482,19,39,0.487,8,17,0.471,19,27,0.704,81
155,3/21/13,Arizona,N,Belmont,W 81-64,200,29,51,0.569,20,34,0.588,9,17,0.529,14,20,0.7,81
156,3/21/13,Syracuse,N,Montana,W 81-34,200,27,52,0.519,22,41,0.537,5,11,0.455,22,31,0.71,81
157,3/24/13,Fla. Gulf Coast,N,San Diego State,W 81-71,200,33,59,0.559,26,41,0.634,7,18,0.389,8,12,0.667,81
158,3/19/14,Cal Poly,N,Texas Southern,W 81-69,200,29,51,0.569,23,36,0.639,6,15,0.4,17,22,0.773,81
159,3/20/14,St. Joseph's,N,UConn,L 81-89 (OT),225,27,54,0.5,20,33,0.606,7,21,0.333,20,27,0.741,81
