Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
60,Coastal Carolina,32,14,18,0.438,-3.91,-2.4,8,10,7,9,5,7,2298,2241,69,100.8,0.374,0.445,0.523,45.8,56.9,10.1,6,0.48,15.2,26.9,0.271
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Colgate,33,19,14,0.576,-4.86,-5.73,12,6,13,3,6,11,2394,2315,67.5,103.9,0.283,0.4,0.556,51,52.6,7.6,9.7,0.526,17.1,26.6,0.209
62,College of Charleston,34,26,8,0.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,65.9,102.1,0.316,0.364,0.531,50.4,49.8,6.1,9.3,0.495,15.5,27.6,0.233
63,Colorado State,32,11,21,0.344,-3.86,3.79,4,14,8,8,3,10,2314,2537,71.4,109.7,0.353,0.439,0.566,49.3,57.2,8.6,6.5,0.537,15.3,28,0.249
64,Colorado,32,17,15,0.531,6.07,7,8,10,12,3,1,10,2307,2337,69.5,103.9,0.34,0.389,0.527,47.6,45.8,10.4,11,0.493,13.3,26.3,0.239
65,Columbia,27,8,19,0.296,-5.64,-3.02,5,9,7,5,1,14,2062,2085,71,107.8,0.314,0.445,0.564,51,56,8.4,7.6,0.533,16.1,28.6,0.23
66,Connecticut,32,14,18,0.438,1.08,6.05,7,11,11,5,2,9,2181,2340,67.3,107,0.339,0.426,0.543,51.8,54.7,7.5,8.3,0.511,15.7,32.5,0.239
67,Coppin State,32,5,27,0.156,-20.97,-7.25,5,11,4,6,1,20,1945,2384,69.1,105.7,0.376,0.386,0.533,55.2,55.4,8,10.7,0.492,15.3,31.9,0.273
68,Cornell,28,12,16,0.429,-8.8,-3.24,6,8,8,4,4,11,2124,2250,70.7,110.7,0.289,0.371,0.554,52,50.3,9.2,10.4,0.525,13.6,30.2,0.21
69,Creighton,33,21,12,0.636,16.35,8.1,10,8,16,2,4,7,2756,2444,72.9,100.8,0.245,0.375,0.523,49,50.7,8.3,8.8,0.496,14.2,24,0.176
70,Dartmouth,27,7,20,0.259,-10.31,-4,3,11,6,6,1,14,1841,1970,67.8,107.2,0.249,0.407,0.568,51.5,52.2,9.1,8.7,0.537,16.3,26.7,0.195
