Unnamed: 0_level_0,Unnamed: 1_level_0,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Unnamed: 16_level_0,Unnamed: 17_level_0,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Unnamed: 16_level_1,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
272,South Carolina State,30,6,24,.200,-18.17,-5.10,2,14,5,8,1,15,1808,2135,,1215,763,1738,.439,194,580,.334,415,612,.678,398,1125,437,217,117,373,498
273,South Carolina Upstate,33,16,17,.485,-3.59,-4.79,9,9,9,4,5,11,2315,2194,,1325,769,1789,.430,220,647,.340,436,616,.708,335,1077,455,223,70,462,562
274,South Carolina,32,14,18,.438,-0.71,2.11,4,14,10,8,1,9,2115,2205,,1300,759,1681,.452,179,530,.338,508,770,.660,344,1045,418,263,158,452,619
275,South Dakota State NCAA,35,25,10,.714,2.36,-3.27,13,3,13,0,7,9,2568,2300,,1420,867,1952,.444,243,676,.359,323,465,.695,290,1069,442,217,89,388,603
276,South Dakota,30,10,20,.333,-7.50,-2.92,5,11,5,7,4,11,2113,2208,,1200,830,1804,.460,231,621,.372,317,466,.680,331,1043,449,172,84,317,533
277,South Florida,31,12,19,.387,4.28,7.70,3,15,10,8,2,10,1822,1928,,1270,700,1657,.422,167,558,.299,361,505,.715,358,1119,395,157,136,373,493
278,Southeast Missouri State,33,17,16,.515,-5.51,-6.06,8,8,9,5,7,8,2446,2360,,1325,823,2050,.401,215,665,.323,499,704,.709,427,1216,408,216,113,347,550
279,Southeastern Louisiana,31,13,18,.419,-10.65,-3.76,10,8,9,3,3,14,1965,2113,,1245,737,1681,.438,175,461,.380,464,692,.671,332,1136,378,165,127,383,557
280,Southern California,32,14,18,.438,6.31,8.25,9,9,10,6,3,9,2101,2163,,1300,749,1805,.415,196,568,.345,469,678,.692,335,1131,399,228,99,383,500
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
281,SIU Edwardsville,27,9,18,.333,-11.19,-4.67,5,11,8,5,1,13,1699,1827,,1080,665,1439,.462,149,458,.325,348,512,.680,270,917,375,180,89,384,468
282,Southern Illinois,31,14,17,.452,-0.82,2.28,6,12,9,4,4,11,1964,2019,,1245,689,1484,.464,195,523,.373,446,616,.724,282,980,402,183,79,479,537
283,Southern Methodist,32,15,17,.469,-0.59,-1.33,5,11,7,7,6,7,2064,2007,,1285,655,1657,.395,242,709,.341,455,647,.703,362,1000,403,239,119,439,591
284,Southern Mississippi,37,27,10,.730,8.95,1.49,12,4,14,2,9,6,2733,2348,,1505,775,1895,.409,288,873,.330,510,756,.675,393,1117,542,257,138,636,653
285,Southern Utah,31,11,20,.355,-12.04,-5.00,8,12,9,5,2,12,2066,2230,,1250,713,1645,.433,159,452,.352,645,914,.706,296,1074,370,237,113,370,583
286,Southern NCAA,33,23,10,.697,-2.61,-10.31,15,3,12,0,8,8,2223,1890,,1320,658,1795,.367,161,559,.288,413,614,.673,371,1173,276,167,93,447,564
287,St. Bonaventure,29,14,15,.483,3.44,2.71,7,9,8,6,5,9,2109,2088,,1170,704,1568,.449,211,571,.370,469,647,.725,329,971,409,181,98,424,585
288,St. Francis (NY),30,12,18,.400,-5.92,-4.75,8,10,6,6,6,10,2108,2143,,1205,763,1670,.457,172,518,.332,445,631,.705,342,1081,416,183,98,403,510
289,St. John's (NY),33,17,16,.515,5.80,7.16,8,10,11,5,5,8,2138,2183,,1335,787,1964,.401,216,652,.331,393,568,.692,440,1324,439,203,117,454,560
290,Stanford,34,19,15,.559,11.40,7.37,9,9,12,5,5,7,2397,2260,,1365,814,1915,.425,163,489,.333,469,646,.726,334,1173,372,189,111,448,609
291,Stephen F. Austin,32,27,5,.844,4.25,-6.64,16,2,15,0,11,4,2075,1639,,1280,588,1546,.380,127,426,.298,336,515,.652,267,928,270,219,114,488,586
292,Stetson,31,15,16,.484,-6.45,-4.45,11,7,8,6,6,9,2180,2218,,1240,829,1847,.449,209,635,.329,351,536,.655,340,1027,456,284,91,376,509
293,Stony Brook,33,25,8,.758,5.60,-4.12,14,2,11,1,13,6,2245,1898,,1320,681,1802,.378,225,726,.310,311,466,.667,326,1073,371,202,95,442,597
294,Syracuse NCAA,40,30,10,.750,20.30,8.57,11,7,17,2,5,5,2816,2347,,1610,794,2152,.369,246,868,.283,513,762,.673,511,1395,537,278,128,616,726
295,Temple NCAA,34,24,10,.706,9.52,5.20,11,5,14,3,8,4,2456,2309,,1360,824,1882,.438,196,555,.353,465,642,.724,358,1214,425,170,100,463,595
296,Tennessee-Martin,30,9,21,.300,-16.58,-4.19,5,11,7,7,2,13,2008,2295,,1220,774,1679,.461,208,594,.350,539,753,.716,333,1094,479,217,139,425,553
297,Tennessee State,33,18,15,.545,-2.17,-1.30,11,5,11,2,5,11,2360,2308,,1330,803,1867,.430,205,637,.322,497,722,.688,385,1103,445,238,101,465,651
298,Tennessee Tech,29,12,17,.414,-9.68,-3.31,5,11,9,5,3,12,1878,1951,,1160,653,1493,.437,175,529,.331,470,667,.705,318,939,351,217,86,433,529
299,Tennessee,33,20,13,.606,9.00,6.03,11,7,13,4,4,7,2189,2091,,1340,744,1780,.418,158,495,.319,445,612,.727,328,1039,367,209,132,368,650
300,Texas A&M-Corpus Christi,29,6,23,.207,-11.76,-3.65,5,13,4,9,2,14,1746,1962,,1160,651,1466,.444,180,506,.356,480,690,.696,317,1028,382,138,88,356,492
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
301,Texas A&M,33,18,15,.545,6.50,4.86,7,11,12,6,4,6,2103,2049,,1350,707,1705,.415,206,615,.335,429,608,.706,365,1063,408,202,135,455,573
302,Texas-Arlington,33,19,14,.576,0.58,-0.90,11,7,7,8,10,5,2121,2072,,1320,671,1718,.391,231,725,.319,499,754,.662,372,1136,380,249,145,503,599
